Dataset Identifier (ID)	Name	Name_Without_Resource	Description	Association	Gene_Set_Description	Gene_Sets_Description	Attribute_Set_Description	Positive Association	Negative Association	Is_Signed	Is_Continuous_Valued	Last_Updated	Directory	Num_Page_Views	Resouce_fk	Measurement_fk	Dataset_Group_Fk	Attribute_Type_fk	Attribute_Group_fk	Evidence_Type	Evidence_Group	Measurement Bias	Attribute_Type_Plural
11	BioGPS Mouse Cell Type and Tissue Gene Expression Profiles	Mouse Cell Type and Tissue Gene Expression Profiles	mRNA expression profiles for mouse tissues and cell types	gene-cell type or tissue associations by differential expression of gene across cell types and tissues	genes with high or low expression in {0} relative to other cell types and tissues from the BioGPS Mouse Cell Type and Tissue Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell type or tissue relative to other cell types and tissues from the BioGPS Mouse Cell Type and Tissue Gene Expression Profiles dataset.	cell types and tissues with high or low expression of {0} gene relative to other cell types and tissues from the BioGPS Mouse Cell Type and Tissue Gene Expression Profiles dataset.	high expression	low expression	1	1		biogpsmouse	11210	4	14	7	3	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell types and tissues
13	CCLE Cell Line Gene CNV Profiles	Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines	gene-cell line associations by copy number variation of gene across cell lines	genes with high or low copy number in {0} relative to other cell lines from the CCLE Cell Line Gene CNV Profiles dataset.	sets of genes with high or low copy number in each cell line relative to other cell lines from the CCLE Cell Line Gene CNV Profiles dataset.	cell lines with high or low copy number of {0} gene relative to other cell lines from the CCLE Cell Line Gene CNV Profiles dataset.	high copy number	low copy number	1	1		cclecnv	22165	7	8	2	1	1	copy number variation by microarray	primary experimental data	high throughput, data driven	cell lines
14	CCLE Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the CCLE Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the CCLE Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the CCLE Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		cclemrna	75786	7	14	7	1	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell lines
15	CCLE Cell Line Gene Mutation Profiles	Cell Line Gene Mutation Profiles	gene-level mutation profiles for cancer cell lines	gene-cell line associations by mutation of gene in cell line	genes mutated in the {0} cell line from the CCLE Cell Line Gene Mutation Profiles dataset.	sets of genes mutated in cell lines from the CCLE Cell Line Gene Mutation Profiles dataset.	cell lines with {0} gene mutations from the CCLE Cell Line Gene Mutation Profiles dataset.			0	0		cclemut	22280	7	18	2	1	1	gene mutation by hybrid capture sequencing	primary experimental data	high throughput, data driven	cell lines
16	CHEA Transcription Factor Binding Site Profiles	Transcription Factor Binding Site Profiles	transcription factor binding site profiles from published ChIP-chip, ChIP-seq, and other transcription factor functional studies	gene-transcription factor binding site profile associations from low-throughput or high-throughput transcription factor functional studies	genes with transcription factor binding evidence in the {0} transcription factor binding site profile from the CHEA Transcription Factor Binding Site Profiles dataset.	sets of genes with transcription factor binding evidence in transcription factor binding site profiles from the CHEA Transcription Factor Binding Site Profiles dataset.	transcription factor binding site profiles with transcription factor binding evidence at the promoter of {0} gene from the CHEA Transcription Factor Binding Site Profiles dataset.			0	0		chea	14582	9	3	2	41	6	association by data aggregation	curated experimental data	mixed	transcription factor binding site profiles
17	CHEA Transcription Factor Targets	Transcription Factor Targets	target genes of transcription factors from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies	target gene-transcription factor associations from low-throughput or high-throughput transcription factor functional studies	target genes of the {0} transcription factor in low- or high-throughput transcription factor functional studies from the CHEA Transcription Factor Targets dataset.	sets of target genes of transcription factors in low- or high-throughput transcription factor functional studies from the CHEA Transcription Factor Targets dataset.	transcription factors binding the promoter of {0} gene in low- or high-throughput transcription factor functional studies from the CHEA Transcription Factor Targets dataset.			0	0		cheappi	35717	9	3	2	36	5	association by data aggregation	curated experimental data	mixed	transcription factors
18	ClinVar Gene-Phenotype Associations	Gene-Phenotype Associations	SNP-phenotype associations curated by ClinVar users from various sources	gene-phenotype associations by crowd-sourced curation	genes associated with the {0} phenotype from the curated ClinVar Gene-Phenotype Associations dataset.	sets of genes associated with phenotypes from the curated ClinVar Gene-Phenotype Associations dataset.	phenotypes associated with {0} gene from the curated ClinVar Gene-Phenotype Associations dataset.			0	0		clinvar	6274	10	20	1	15	3	genetic association by literature curation	curated literature	low throughput, hypothesis driven	phenotypes
19	CMAP Signatures of Differentially Expressed Genes for Small Molecules	Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines following  chemical perturbation	gene-small molecule associations by differential expression of gene following small molecule perturbation	genes differentially expressed following the {0} small molecule perturbation from the CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	sets of genes differentially expressed following small molecule perturbations from the CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	small molecule perturbations changing expression of {0} gene from the CMAP Signatures of Differentially Expressed Genes for Small Molecules dataset.	increased expression	decreased expression	1	0		cmap	8156	14	14	7	12	2	gene expression by microarray	primary experimental data	high throughput, data driven	small molecule perturbations
21	COMPARTMENTS Curated Protein Localization Evidence Scores	Curated Protein Localization Evidence Scores	protein subcellular localization evidence scores by manual literature curation	protein-cellular component associations by integrating evidence from manual literature curation	proteins localized to the {0} cellular component from the COMPARTMENTS Curated Protein Localization Evidence Scores dataset.	sets of proteins localized to cellular components from the COMPARTMENTS Curated Protein Localization Evidence Scores dataset.	cellular components containing {0} protein from the COMPARTMENTS Curated Protein Localization Evidence Scores dataset.			0	1		jensencompartmentcurated	3813	13	4	6	19	4	association by literature curation	curated literature	low throughput, hypothesis driven	cellular components
22	COMPARTMENTS Experimental Protein Localization Evidence Scores	Experimental Protein Localization Evidence Scores	protein subcellular localization evidence scores by integrating experimental data	protein-cellular component associations by integrating evidence from experimental studies	proteins localized to the {0} cellular component in low- or high-throughput protein localization assays from the COMPARTMENTS Experimental Protein Localization Evidence Scores dataset.	sets of proteins localized to cellular components in low- or high-throughput protein localization assays from the COMPARTMENTS Experimental Protein Localization Evidence Scores dataset.	cellular components containing {0} protein in low- or high-throughput protein localization assays from the COMPARTMENTS Experimental Protein Localization Evidence Scores dataset.			0	1		jensencompartmentexpts	2280	13	3	5	19	4	association by data aggregation	curated experimental data	mixed	cellular components
23	COMPARTMENTS Text-mining Protein Localization Evidence Scores	Text-mining Protein Localization Evidence Scores	gene-cellular compartment co-occurrence scores from text-mining biomedical abstracts	protein-cellular component associations from automated text-mining of biomedical literature	proteins co-occuring with the {0} cellular component in abstracts of biomedical publications from the COMPARTMENTS Text-mining Protein Localization Evidence Scores dataset.	sets of proteins co-occuring with cellular components in abstracts of biomedical publications from the COMPARTMENTS Text-mining Protein Localization Evidence Scores dataset.	cellular components co-occuring with {0} protein in abstracts of biomedical publications from the COMPARTMENTS Text-mining Protein Localization Evidence Scores dataset.			0	1		jensencompartmenttextmining	3834	13	5	6	19	4	association by text-mining	automated text-mining	low throughput, hypothesis driven	cellular components
24	CORUM Protein Complexes	Protein Complexes	proteins participating in complexes by manual literature curation	protein-protein complex associations from curated complexes	proteins in the {0} protein complex from the CORUM Protein Complexes dataset.	sets of proteins in protein complexes from the CORUM Protein Complexes dataset.	protein complexs containing {0} protein from the CORUM Protein Complexes dataset.			0	0		corum	7892	15	4	6	23	4	association by literature curation	curated literature	low throughput, hypothesis driven	protein complexes
25	COSMIC Cell Line Gene CNV Profiles	Cell Line Gene CNV Profiles	gene-level copy number variation profiles for cancer cell lines	gene-cell line associations by copy number variation of gene across cell lines	genes with high or low copy number in {0} relative to other cell lines from the COSMIC Cell Line Gene CNV Profiles dataset.	sets of genes with high or low copy number in each cell line relative to other cell lines from the COSMIC Cell Line Gene CNV Profiles dataset.	cell lines with high or low copy number of {0} gene relative to other cell lines from the COSMIC Cell Line Gene CNV Profiles dataset.	high copy number	low copy number	1	1		cosmiccnv	8235	8	8	2	1	1	copy number variation by microarray	primary experimental data	high throughput, data driven	cell lines
26	COSMIC Cell Line Gene Mutation Profiles	Cell Line Gene Mutation Profiles	gene mutations in cancer cell lines from low-throughput or high-throughput studies	gene-cell line associations by mutation of gene in cell line	genes mutated in the {0} cell line from the COSMIC Cell Line Gene Mutation Profiles dataset.	sets of genes mutated in cell lines from the COSMIC Cell Line Gene Mutation Profiles dataset.	cell lines with {0} gene mutations from the COSMIC Cell Line Gene Mutation Profiles dataset.			0	0		cosmicmut	17734	8	17	2	1	1	gene mutation by data aggregation	curated experimental data	mixed	cell lines
27	CTD Gene-Chemical Interactions	Gene-Chemical Interactions	chemical-gene interactions curated from literature	gene-chemical associations by manual literature curation	genes/proteins interacting with the chemical {0} from the curated CTD Gene-Chemical Interactions dataset.	sets of genes/proteins interacting with chemicals from the curated CTD Gene-Chemical Interactions dataset.	chemicals interacting with {0} gene/protein from the curated CTD Gene-Chemical Interactions dataset.			0	0		ctdchemical	10927	12	4	4	6	2	association by literature curation	curated literature	low throughput, hypothesis driven	chemicals
28	CTD Gene-Disease Associations	Gene-Disease Associations	disease-gene interactions curated from literature	gene-disease associations by manual literature curation	genes/proteins associated with the disease {0} from the curated CTD Gene-Disease Associations dataset.	sets of genes/proteins associated with diseases from the curated CTD Gene-Disease Associations dataset.	diseases associated with {0} gene/protein from the curated CTD Gene-Disease Associations dataset.			0	1		ctddisease	19892	12	4	1	13	3	association by literature curation	curated literature	low throughput, hypothesis driven	diseases
29	dbGAP Gene-Trait Associations	Gene-Trait Associations	gene-trait associations curated from genetic association studies	gene-trait associations curated from genetic association studies	genes associated with the trait {0} in GWAS and other genetic association datasets from the dbGAP Gene-Trait Associations dataset.	sets of genes associated with traits in GWAS and other genetic association datasets from the dbGAP Gene-Trait Associations dataset.	traits associated with {0} gene in GWAS and other genetic association datasets from the dbGAP Gene-Trait Associations dataset.			0	1		dbgap	4535	16	19	1	16	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	mixed	traits
30	DEPOD Substrates of Phosphatases	Substrates of Phosphatases	phosphatase-substrate interactions manually curated from literature and databases of protein annotations or protein interactions	substrate-phosphatase associations from curation of literature and protein informatics databases	substrates of the phosphatase {0} from the curated DEPOD Substrates of Phosphatases dataset.	sets of substrates of phosphatases from the curated DEPOD Substrates of Phosphatases dataset.	phosphatases that dephosphorylate {0} protein from the curated DEPOD Substrates of Phosphatases dataset.			0	0		depod	2030	18	3	4	35	5	association by data aggregation	curated experimental data	low throughput, hypothesis driven	phosphatases
32	DISEASES Curated Gene-Disease Assocation Evidence Scores	Curated Gene-Disease Assocation Evidence Scores	disease gene evidence scores by manual literature curation	gene-disease associations by integrating evidence from manual literature curation	genes involed in the disease {0} from the DISEASES Curated Gene-Disease Assocation Evidence Scores dataset.	sets of genes involed in diseases from the DISEASES Curated Gene-Disease Assocation Evidence Scores dataset.	diseases involving {0} gene from the DISEASES Curated Gene-Disease Assocation Evidence Scores dataset.			0	0		jensendiseasecurated	4933	19	4	1	13	3	association by literature curation	curated literature	low throughput, hypothesis driven	diseases
33	DISEASES Experimental Gene-Disease Assocation Evidence Scores	Experimental Gene-Disease Assocation Evidence Scores	disease gene evidence scores by integrating experimental data (GWAS)	gene-disease associations by integrating evidence from experimental studies	genes associated with the disease {0} in GWAS datasets from the DISEASES Experimental Gene-Disease Assocation Evidence Scores dataset.	sets of genes associated with diseases in GWAS datasets from the DISEASES Experimental Gene-Disease Assocation Evidence Scores dataset.	diseases associated with {0} gene in GWAS datasets from the DISEASES Experimental Gene-Disease Assocation Evidence Scores dataset.			0	1		jensendiseaseexpts	6013	19	19	1	13	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	high throughput, data driven	diseases
34	DISEASES Text-mining Gene-Disease Assocation Evidence Scores	Text-mining Gene-Disease Assocation Evidence Scores	gene-disease co-occurrence scores from text-mining biomedical abstracts	gene-disease associations from automated text-mining of biomedical literature	genes co-occuring with the disease {0} in abstracts of biomedical publications from the DISEASES Text-mining Gene-Disease Assocation Evidence Scores dataset.	sets of genes co-occuring with diseases in abstracts of biomedical publications from the DISEASES Text-mining Gene-Disease Assocation Evidence Scores dataset.	diseases co-occuring with {0} gene in abstracts of biomedical publications from the DISEASES Text-mining Gene-Disease Assocation Evidence Scores dataset.			0	1		jensendiseasetextmining	26268	19	5	1	13	3	association by text-mining	automated text-mining	low throughput, hypothesis driven	diseases
35	DrugBank Drug Targets	Drug Targets	targets of drugs by manual literature curation	protein-drug associations by manual literature curation	interacting proteins for the {0} drug from the curated DrugBank Drug Targets dataset.	sets of interacting proteins for drugs from the curated DrugBank Drug Targets dataset.	interacting drugs for {0} protein from the curated DrugBank Drug Targets dataset.			0	0		drugbank	16951	20	4	4	7	2	association by literature curation	curated literature	low throughput, hypothesis driven	drugs
36	ENCODE Histone Modification Site Profiles	Histone Modification Site Profiles	histone modification profiles for cell lines	gene-histone modification site profile associations by modification of histone near gene in cell line	genes with high histone modification abundance in the {0} histone modification site profile from the ENCODE Histone Modification Site Profiles dataset.	sets of genes with high histone modification abundance in histone modification site profiles from the ENCODE Histone Modification Site Profiles dataset.	histone modification site profiles with high histone modification abundance at {0} gene from the ENCODE Histone Modification Site Profiles dataset.			0	0		encodehm	3666	21	22	2	40	6	histone DNA-binding by ChIP-seq	primary experimental data	high throughput, data driven	histone modification site profiles
37	ENCODE Transcription Factor Binding Site Profiles	Transcription Factor Binding Site Profiles	transcription factor binding site profiles for cell lines	gene-transcription factor binding site profile associations by binding of transcription factor near transcription start site of gene in cell line	genes with transcription factor binding evidence in the {0} transcription factor binding site profile from the ENCODE Transcription Factor Binding Site Profiles dataset.	sets of genes with transcription factor binding evidence in transcription factor binding site profiles from the ENCODE Transcription Factor Binding Site Profiles dataset.	transcription factor binding site profiles with transcription factor binding evidence at the promoter of {0} gene from the ENCODE Transcription Factor Binding Site Profiles dataset.			0	0		encodetf	10418	21	29	2	41	6	transcription factor DNA-binding by ChIP-seq	primary experimental data	high throughput, data driven	transcription factor binding site profiles
38	ENCODE Transcription Factor Targets	Transcription Factor Targets	target genes of transcription factors from transcription factor binding site profiles	target gene-transcription factor associations by binding of transcription factor near transcription start site of gene	target genes of the {0} transcription factor in ChIP-seq datasets from the ENCODE Transcription Factor Targets dataset.	sets of target genes of transcription factors in ChIP-seq datasets from the ENCODE Transcription Factor Targets dataset.	transcription factors binding the promoter of {0} gene in ChIP-seq datasets from the ENCODE Transcription Factor Targets dataset.			0	0		encodetfppi	69648	21	29	2	36	5	transcription factor DNA-binding by ChIP-seq	primary experimental data	high throughput, data driven	transcription factors
39	ESCAPE Omics Signatures of Genes and Proteins for Stem Cells	Omics Signatures of Genes and Proteins for Stem Cells	sets of target genes of transcription factors from published ChIP-chip, ChIP-seq, and other transcription factor binding site profiling studies;sets of differentially expressed genes following perturbation of a protein from gene expression data in GEO; sets of interacting proteins from high- and low-throughput protein-protein interaction studies; sets of targets of microRNAs from public databases, computationally predicted or experimentally verified	gene-PubMedID associations by PubMedID of publication reporting gene signature	genes in signature reported in the publication with PubMedID {0} from the ESCAPE Omics Signatures of Genes and Proteins for Stem Cells dataset.	sets of genes reported in publications from the ESCAPE Omics Signatures of Genes and Proteins for Stem Cells dataset.	PubMedIDs of publications reporting gene signatures containing {0} from the ESCAPE Omics Signatures of Genes and Proteins for Stem Cells dataset.			0	0		escape	2806	22	3	7	24	4	association by data aggregation	curated experimental data	mixed	PubMedIDs
40	GAD Gene-Disease Associations	Gene-Disease Associations	gene-disease associations curated from genetic association studies	gene-disease associations curated from genetic association studies	genes associated with the disease {0} in GWAS and other genetic association datasets from the GAD Gene-Disease Associations dataset.	sets of genes associated with diseases in GWAS and other genetic association datasets from the GAD Gene-Disease Associations dataset.	diseases associated with {0} gene in GWAS and other genetic association datasets from the GAD Gene-Disease Associations dataset.			0	0		gad	17356	27	19	1	13	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	mixed	diseases
41	GAD High Level Gene-Disease Associations	High Level Gene-Disease Associations	gene-disease associations curated from genetic association studies	gene-disease associations curated from genetic association studies	genes associated with the disease {0} in GWAS and other genetic association datasets from the GAD High Level Gene-Disease Associations dataset.	sets of genes associated with diseases in GWAS and other genetic association datasets from the GAD High Level Gene-Disease Associations dataset.	diseases associated with {0} gene in GWAS and other genetic association datasets from the GAD High Level Gene-Disease Associations dataset.			0	1		gadhighlevel	3582	27	19	1	13	3	genetic association by data aggregation from genome-wide association and other genetic association studies	curated experimental data	mixed	diseases
42	GDSC Cell Line Gene Expression Profiles	Cell Line Gene Expression Profiles	mRNA expression profiles for cancer cell lines	gene-cell line associations by differential expression of gene across cell lines	genes with high or low expression in {0} relative to other cell lines from the GDSC Cell Line Gene Expression Profiles dataset.	sets of genes with high or low expression in each cell line relative to other cell lines from the GDSC Cell Line Gene Expression Profiles dataset.	cell lines with high or low expression of {0} gene relative to other cell lines from the GDSC Cell Line Gene Expression Profiles dataset.	high expression	low expression	1	1		gdsc	9594	28	14	7	1	1	gene expression by microarray	primary experimental data	high throughput, data driven	cell lines
43	GeneRIF Biological Term Annotations	Biological Term Annotations	statements describing functions of genes distilled from biomedical publications	gene-biological term associations from literature-supported statements describing functions of genes	genes co-occuring with the biological term {0} in literature-supported statements describing functions of genes from the GeneRIF Biological Term Annotations dataset.	sets of genes co-occuring with biological terms in literature-supported statements describing functions of genes from the GeneRIF Biological Term Annotations dataset.	biological terms co-occuring with {0} gene in literature-supported statements describing functions of genes from the GeneRIF Biological Term Annotations dataset.			0	0		generif	16267	25	4	6	18	4	association by literature curation	curated literature	low throughput, hypothesis driven	biological terms
44	GeneSigDB Published Gene Signatures	Published Gene Signatures	gene signatures reported in the literature that were derived from analysis of transcriptomic or proteomic data	gene-PubMedID associations by PubMedID of publication reporting gene signature	genes in signature reported in the publication with PubMedID {0} from the GeneSigDB Published Gene Signatures dataset.	sets of genes reported in publications from the GeneSigDB Published Gene Signatures dataset.	PubMedIDs of publications reporting gene signatures containing {0} from the GeneSigDB Published Gene Signatures dataset.			0	0		genesigdb	3817	26	3	7	24	4	association by data aggregation	curated experimental data	low throughput, hypothesis driven	PubMedIDs
45	GEO Signatures of Differentially Expressed Genes for Diseases	Signatures of Differentially Expressed Genes for Diseases	mRNA expression profiles for cell lines or tissues following disease perturbation	gene-disease associations by differential expression of gene following disease perturbation	genes differentially expressed during {0} disease perturbation from the GEO Signatures of Differentially Expressed Genes for Diseases dataset.	sets of genes differentially expressed during disease perturbations from the GEO Signatures of Differentially Expressed Genes for Diseases dataset.	disease perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Diseases dataset.	increased expression	decreased expression	1	1		geodisease	8077	23	14	7	14	3	gene expression by microarray	primary experimental data	high throughput, data driven	disease perturbations
46	GEO Signatures of Differentially Expressed Genes for Gene Perturbations	Signatures of Differentially Expressed Genes for Gene Perturbations	mRNA expression profiles for cell lines or tissues following genetic perturbation (knockdown, knockout, over-expression, mutation)	gene-gene associations by differential expression of gene A following perturbation of gene B	genes differentially expressed following the {0} gene perturbation from the GEO Signatures of Differentially Expressed Genes for Gene Perturbations dataset.	sets of genes differentially expressed following gene perturbations from the GEO Signatures of Differentially Expressed Genes for Gene Perturbations dataset.	gene perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Gene Perturbations dataset.	increased expression	decreased expression	1	0		geogene	4076	23	14	7	27	5	gene expression by microarray	primary experimental data	high throughput, data driven	gene perturbations
47	GEO Signatures of Differentially Expressed Genes for Kinase Perturbations	Signatures of Differentially Expressed Genes for Kinase Perturbations	mRNA expression profiles for cell lines or tissues following kinase perturbation (inhibition, activation, knockdown, knockout, over-expression, mutation)	gene-kinase associations by differential expression of gene following perturbation of kinase	genes differentially expressed following the {0} kinase perturbation from the GEO Signatures of Differentially Expressed Genes for Kinase Perturbations dataset.	sets of genes differentially expressed following kinase perturbations from the GEO Signatures of Differentially Expressed Genes for Kinase Perturbations dataset.	kinase perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Kinase Perturbations dataset.	increased expression	decreased expression	1	1		geokinase	4593	23	14	7	31	5	gene expression by microarray	primary experimental data	high throughput, data driven	kinase perturbations
48	GEO Signatures of Differentially Expressed Genes for Small Molecules	Signatures of Differentially Expressed Genes for Small Molecules	mRNA expression profiles for cell lines or tissues following small molecule perturbation	gene-small molecule associations by differential expression of gene following small molecule perturbation	genes differentially expressed following the {0} small molecule perturbation from the GEO Signatures of Differentially Expressed Genes for Small Molecules dataset.	sets of genes differentially expressed following small molecule perturbations from the GEO Signatures of Differentially Expressed Genes for Small Molecules dataset.	small molecule perturbations changing expression of {0} gene from the GEO Signatures of Differentially Expressed Genes for Small Molecules dataset.	increased expression	decreased expression	1	0		geochemical	3268	23	14	7	12	2	gene expression by microarray	primary experimental data	high throughput, data driven	small molecule perturbations
